Gender;Country;Country_other;Age;Family;Kids;SchoolLevel;work;LE1[SQ001];LE1[SQ002];LE1[SQ003];LE1[SQ004];LE2;LE3;LE4;LE5;LE6;B1;B2[SQ001];B2[SQ002];B2[SQ003];B2[SQ004];B2[SQ005];B2[SQ006];B3[SQ001];B3[SQ002];B3[SQ003];B3[SQ004];B3[SQ005];B4[SQ001];B4[SQ002];B4[SQ003];B4[SQ004];B4[SQ005];B4[SQ006];B4[SQ007];B4[SQ008];B5;B6;FU0
Femenino;Otro;Portugal;1963;vivo solo;0;Master;asalariado;Completamente;Completamente;Completamente;6;Antes de comenzar el curso;Si;100;Participado en todas las tareas de aprendizaje de la ORIENTACIÓN LIDERAZGO y ORIENTACIÓN EXPERTO, he navegado,  descargado los materiales y enviado las tareas finales;;De acuerdo;Muy importante;Muy importante;Muy importante;Importante;Importante;Importante;Totalmente de acuerdo;Totalmente de acuerdo;De acuerdo;De acuerdo;De acuerdo;Importante;Muy importante;Muy importante;Importante;Muy importante;Importante;Importante;Importante;Sí;Voy presentar una propuesta de trabajo de sensibilización ambiental en la Fundación Oceano Azul, pues gostaria mucho de continuar trabajo en esta area tematica.;Felicitaciones! Ahora vamos a trabajar todos juntos por un oceáno más limpio
Masculino;Ecuador;;1970;vivo en pareja;2;Master;autónomo;Completamente;Completamente;Completamente;Completamente;Antes de comenzar el curso;No tuve suficiente tiempo;100;Participado en todas las tareas de aprendizaje de la ORIENTACIÓN EXPERTO, he navegado y descargado los materiales, y he enviado la tarea final para obtener el certificado;;Totalmente de acuerdo;Muy importante;Importante;Muy importante;Importante;Importante;Importante;Totalmente de acuerdo;De acuerdo;Totalmente de acuerdo;De acuerdo;De acuerdo;Muy importante;Muy importante;Importante;Importante;Muy importante;Importante;Importante;Importante;Sí;Ya no utilizamos bolsas plásticas cuando vamos de compras a los supermercados, llevamos nuestras propias bolsas. hemos tenido ya reuniones con autoridades gubernamentales para dar a conocer sobre la problemática y alternativas sobre el manejo de los desechos sólidos y la afectación a los ecosistemas costeros por la generación de basura marina.;La información compartida en los diferentes documentos de estudio es muy buena, lamentablemente la mayoría de esta  se encuentra en ingles. Al realizar un curso de la importancia y trascendencia de este, siendo anunciado que será dictado en español, estos documentos de descarga que sirven de refuerzo deberían de estar en su totalidad en idioma español, así se obtendría un mejor aprovechamiento de estos.
Femenino;México;;1979;vivo en pareja;0;Universitario;asalariado;Completamente;Completamente;Completamente;Completamente;Al comenzar el curso.;No tuve suficiente tiempo;140;Participado en todas las tareas de aprendizaje de la ORIENTACIÓN LIDERAZGO y ORIENTACIÓN EXPERTO, he navegado,  descargado los materiales y enviado las tareas finales;;De acuerdo;Muy importante;Muy importante;Muy importante;Importante;Muy importante;Muy importante;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Importante;Importante;Importancia moderada;Sí;Difusión a través de redes sociales (Facebook- Twitter) sobre el impacto de la basura marina en los oceanos. ;El curso es muy bueno en cuanto a que ofrece visibilidad y retroalimentación de los temas desde diferentes perspectivas, lo que tambien hace que la información se pierda por lo que considero necesario dar oportunidad de que se pueda tener acceso a la plataforma por mas tiempo para revisar los trabajos de los compañeros para valorar experiencias. En lo personal tuve problemas para tener seguimiento sobre las opiniones a los trabajos que realice, sugiero que haya dentro de la plataforma un seguimiento mas puntual por usuario. Finalmente, resalto que tuve problemas en la grafica de progreso ya que no se apreciaron las tareas  y las evaluaciones de los bloques 7 y 8 lo que espero no repercuta en mi evaluación. Agradezco sinceramente la oportunidad de aprender y reconocer que como ciudadana y consumidora tengo el compromiso de contribuir a la reducción de la basura y difundir este compromiso de sensibilización. Sinceramente, Sandra Nava Hernández
Femenino;Ecuador;;1987;vivo con mis padres;0;Master;asalariado;6;6;6;6;Al comenzar el curso.;Si;20;Participado en todas las tareas de aprendizaje de la ORIENTACIÓN LIDERAZGO, he navegado y descargado los materiales, y he enviado la tarea final para obtener el certificado;;Neutral;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;No;No utilizar popotes ni botellas de plastico;excelente curso
Femenino;Panamá;;1994;vivo con mis padres;0;Universitario;desempleado y en búsqueda de empleo;Completamente;Completamente;Completamente;Completamente;Antes de comenzar el curso;Si;20;Participado en todas las tareas de aprendizaje de la ORIENTACIÓN LIDERAZGO, he navegado y descargado los materiales, y he enviado la tarea final para obtener el certificado;;Totalmente de acuerdo;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Sí;He dado charlas de educación ambiental en 3 escuelas.;
Femenino;México;;1970;vivo en pareja;0;Estudios superiores;autónomo;Completamente;Completamente;Completamente;Completamente;Durante el curso;No tuve suficiente tiempo;12;Participado en todas las tareas de aprendizaje de la ORIENTACIÓN LIDERAZGO y ORIENTACIÓN EXPERTO, he navegado y descargado los materiales;;Totalmente de acuerdo;Muy importante;Importante;Importante;Importante;Muy importante;Importante;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Muy importante;Importante;Importante;Importante;Importante;Importante;Importante;Importante;Sí;empezaremos a trabajar en un proyecto entre Colombia y México y vamos a replicar acciones que tengan éxito;estoy muy agradecida por todo el material, el conocer gente interesada en lo mismo que yo, en un curso que me hizo ver mas alla de todo lo que implica la basura y hay mucho por hacer gracias a los profesores y a todos lo que hicieron posible este curso, muchas gracias
Femenino;Ecuador;;1990;vivo en pareja;0;Universitario;autónomo;Completamente;Completamente;Completamente;Completamente;Durante el curso;No tuve suficiente tiempo;200;Participado en algunas actividades de algunos módulos de aprendizaje, he navegado y descargado los materiales;6;Neutral;Muy importante;Importancia moderada;Muy importante;Importancia moderada;Muy importante;Importante;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Muy importante;Muy importante;Muy importante;Muy importante;Importante;Muy importante;Muy importante;Importancia moderada;No;No he iniciado una acción específica, sin embargo he tratado de crear una cultura de reciclaje, reducción y rehuso en general, lo cual tiene como efecto secundario combatir la basura marina.;
Femenino;México;;1990;vivo con compañeros de piso;1;Universitario;autónomo;Completamente;Completamente;Completamente;Completamente;Durante el curso;Si;80;Participado en todas las tareas de aprendizaje de la ORIENTACIÓN LIDERAZGO y ORIENTACIÓN EXPERTO, he navegado,  descargado los materiales y enviado las tareas finales;;De acuerdo;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;De acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Importante;Muy importante;Importante;Importante;Importante;Importante;Importante;Importante;Sí;talleres informativos;
Femenino;Otro;Brazil;1989;vivo con mis padres;0;Master;estudiante;5;5;5;6;Durante el curso;Si;80;Participado en todas las tareas de aprendizaje de la ORIENTACIÓN LIDERAZGO y ORIENTACIÓN EXPERTO, he navegado,  descargado los materiales y enviado las tareas finales;;De acuerdo;Muy importante;Importante;Importante;Importante;Importante;Importante;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;Importante;Muy importante;Importante;Importante;Muy importante;Importante;Importancia moderada;Importancia moderada;Sí;inclusión de temática en mi proyecto de la tesis de doctorado;Me gustaría agradecer la oportunidad de aprendizaje que se ha dado. ¡El curso fue excelente! Espero tener la oportunidad de profundizar aún más en esta área con la participación en investigaciones y nuevos cursos. gracias
Femenino;Perú;;1992;vivo con mis padres;1;Universitario;desempleado y en búsqueda de empleo;Completamente;Completamente;Completamente;Completamente;Antes de comenzar el curso;Si, pero decidí invertir menos tiempo;40;Participado en todas las tareas de aprendizaje de la ORIENTACIÓN LIDERAZGO y ORIENTACIÓN EXPERTO, he navegado,  descargado los materiales y enviado las tareas finales;;De acuerdo;Muy importante;Importancia moderada;Muy importante;Muy importante;Muy importante;Importancia moderada;De acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;De acuerdo;Importancia moderada;Muy importante;Muy importante;Importancia moderada;Importancia moderada;Importancia moderada;De poca importancia;Sin importancia;No;Quisiera presentar el plan de acción que hice a la municipalidad que podría ponerlo en marcha;
Masculino;Venezuela;;1984;vivo en pareja;0;Master;desempleado y en búsqueda de empleo;Completamente;Completamente;Completamente;Completamente;Al comenzar el curso.;Si;300;Participado en todas las tareas de aprendizaje de la ORIENTACIÓN EXPERTO, he navegado y descargado los materiales, y he enviado la tarea final para obtener el certificado;;De acuerdo;Muy importante;Importante;Muy importante;Importancia moderada;Muy importante;Importante;Totalmente de acuerdo;De acuerdo;Totalmente de acuerdo;De acuerdo;Neutral;Muy importante;Muy importante;Muy importante;De poca importancia;Importante;Importante;Importante;Muy importante;Sí;Estoy dándole inicio a una fundación ambientalista, los conocimientos del MOOC permitieron establecer mejores objetivos de la fundación. He iniciado campaña con el uso de las redes sociales sobre mensajes de la basura marina;Los conocimientos fueron de un alto nivel, me gustó mucho. me encantaría formar parte de algun equipo de investigación sobre la basura marina en el mundo 
Femenino;Otro;Brasil;1991;vivo con mis padres;0;Master;desempleado y en búsqueda de empleo;5;6;6;6;Al comenzar el curso.;Si;60;Participado en todas las tareas de aprendizaje de la ORIENTACIÓN LIDERAZGO y ORIENTACIÓN EXPERTO, he navegado,  descargado los materiales y enviado las tareas finales;;De acuerdo;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Muy importante;Muy importante;Muy importante;Importante;Importante;Importante;Importancia moderada;Importancia moderada;Sí;Organizar mutirões de limpeza da praia na ong em que faço serviço voluntário;
Masculino;España;;1944;vivo solo;0;Estudios superiores;autónomo;Completamente;Completamente;6;Completamente;Durante el curso;Si;48;Participado en todas las tareas de aprendizaje de la ORIENTACIÓN LIDERAZGO y ORIENTACIÓN EXPERTO, he navegado,  descargado los materiales y enviado las tareas finales;;Totalmente de acuerdo;Muy importante;Importante;Importante;Importancia moderada;Importante;Importante;De acuerdo;De acuerdo;Totalmente de acuerdo;De acuerdo;De acuerdo;Importancia moderada;Muy importante;Muy importante;Importante;Muy importante;Importante;Importante;Importancia moderada;Sí;Mi proyecto final se refiere exactamente a darle continuidad y expandir las acciones limitadas que he iniciado hasta ahora, con la idea de involucrar a la mayor cantidad de gente posible en mi entorno. Hasta ahora solo me he dedicado al tema de la reducción de la basura pero, con un plan como el que he presentado, puedo entusiasmar a otros en mi localidad y emprender otras acciones como iniciar con el reciclaje y mejorar los temas de recolección, disposición y educación...;Los felicito por el curso y espero que, en la región donde vivo, se integre más gente.  Deseo aclara que, aunque soy español de nacimiento, vivo hace más de 23 años en la ciudad de Bocas del Toro, en el Caribe Panameño, y todo lo que hago se refiere exclusivamente a esa zona.
Masculino;Costa Rica;;1999;vivo con mis padres;1;Estudios medios;estudiante;6;Completamente;Completamente;Completamente;Durante el curso;Si;2;Participado en algunas actividades de algunos módulos de aprendizaje, he navegado y descargado los materiales;4;Totalmente de acuerdo;Muy importante;Importancia moderada;Muy importante;De poca importancia;Muy importante;Muy importante;De acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Muy importante;Muy importante;Importante;Importante;Importante;Importante;Muy importante;Importancia moderada;Sí;Instalar basureros en las playas y hacer letreros para  concientizar a las personas;
Masculino;México;;1994;vivo en pareja;1;Universitario;asalariado;Completamente;Completamente;Completamente;Completamente;Durante el curso;Si;20;Participado en todas las tareas de aprendizaje de la ORIENTACIÓN LIDERAZGO, he navegado y descargado los materiales, y he enviado la tarea final para obtener el certificado;;Totalmente de acuerdo;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Sí;Recolección de botellas plásticas, para venderlas y obtener recursos para seguir avanzando;Felicidades a todas las personas que hacen esto posible.
Femenino;Otro;Brasil;1967;vivo solo;0;Doctorado;asalariado;Completamente;Completamente;Completamente;Completamente;Al comenzar el curso.;Si;60;Participado en todas las tareas de aprendizaje de la ORIENTACIÓN LIDERAZGO y ORIENTACIÓN EXPERTO, he navegado,  descargado los materiales y enviado las tareas finales;;Totalmente de acuerdo;Muy importante;Importante;Muy importante;Muy importante;Muy importante;Muy importante;Totalmente de acuerdo;Totalmente de acuerdo;De acuerdo;De acuerdo;Totalmente de acuerdo;Importante;Muy importante;Muy importante;Importante;Importante;Muy importante;Muy importante;Muy importante;Sí;Trabajo en una organizacion federal de medio ambiente de Brasil y estoy encarregada de hacer una campana para usuarios de ambientes coralineos y inclui el tema basura marina;Mi comnetario es para parabenizar la equipe del curso, fue excelente , todos los textos e videos y la discussion final. 
Masculino;Chile;;1994;vivo con mis padres;1;Estudios superiores;desempleado y en búsqueda de empleo;Completamente;Completamente;Completamente;Completamente;Al comenzar el curso.;Si;30;Participado en todas las tareas de aprendizaje de la ORIENTACIÓN LIDERAZGO y ORIENTACIÓN EXPERTO, he navegado,  descargado los materiales y enviado las tareas finales;;Totalmente de acuerdo;Muy importante;Importante;Importante;Importancia moderada;Muy importante;Muy importante;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;De acuerdo;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Importante;Importante;Sí;inicie una fundación con la finalidad de contribuir en el estudio del plástico y como contamina los cursas de agua, además de fomentar las acciones como limpiezas de ríos y playas, almacenando información al respecto, proyecto el cual actualmente estoy viendo los ambitos legales para formarlo. y contamos con una página en instagram para educar a las personas;fue un curso muy completo, me ayudo bastante en temas que tenia dudas de como realizar y por medio de videos y mostrando realidades uno puede abrir la mente y pensar en mejores soliciones entorno a la basura marina. Ademas de reforzar la importancia de esta hoy en dia en temas de contaminación y efectos en los ecosistemas marinos principalmente.
Femenino;México;;1990;vivo con compañeros de piso;1;Universitario;autónomo;Completamente;Completamente;Completamente;Completamente;Al comenzar el curso.;Si;80;Participado en todas las tareas de aprendizaje de la ORIENTACIÓN LIDERAZGO y ORIENTACIÓN EXPERTO, he navegado,  descargado los materiales y enviado las tareas finales;;De acuerdo;Importante;Importante;Importante;Importante;Muy importante;Muy importante;De acuerdo;Totalmente de acuerdo;De acuerdo;De acuerdo;De acuerdo;Importante;Importante;Importante;Importante;Importante;Importante;Importante;Importante;Sí;talleres informativos;
Masculino;Argentina;;1981;Otro;0;Universitario;asalariado;6;6;4;4;Al final del curso;No tuve suficiente tiempo;60;Participado en todas las tareas de aprendizaje de la ORIENTACIÓN LIDERAZGO y ORIENTACIÓN EXPERTO, he navegado,  descargado los materiales y enviado las tareas finales;;Totalmente de acuerdo;Importante;Importancia moderada;Importancia moderada;Importancia moderada;Importancia moderada;De poca importancia;De acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;De acuerdo;Totalmente de acuerdo;Importante;Importancia moderada;Importancia moderada;De poca importancia;De poca importancia;Importancia moderada;De poca importancia;De poca importancia;Sí;censo de residuos marinos en la base antártica Carlini y alrededores y en la ZAEP 132;
Femenino;Colombia;;1981;vivo en pareja;1;Universitario;asalariado;Completamente;Completamente;Completamente;Completamente;Durante el curso;Si;100;Participado en todas las tareas de aprendizaje de la ORIENTACIÓN EXPERTO, he navegado y descargado los materiales, y he enviado la tarea final para obtener el certificado;;Totalmente de acuerdo;Muy importante;Importante;Importante;Importante;Muy importante;Importante;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Muy importante;Muy importante;Muy importante;Importante;Muy importante;Muy importante;Muy importante;Muy importante;Sí;-Difusión de las 5Rs (reducir, reusar, rehusar, reciclar y rediseñar) con mis estudiantes, familiares y ONG. -Lanzamiento de campaña mensuales a través de la cuenta de facebook de mi ONG. -Programas radiales y facebook lives donde explico la problemática ;Muy agradecida con el curso, aprendí muchísimo.
Femenino;Colombia;;1995;vivo con mis padres;0;Diplomado;estudiante;Completamente;Completamente;Completamente;Completamente;Durante el curso;No tuve suficiente tiempo;30;Participado en todas las tareas de aprendizaje de la ORIENTACIÓN EXPERTO, he navegado y descargado los materiales, y he enviado la tarea final para obtener el certificado;;Totalmente de acuerdo;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Totalmente de acuerdo;De acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Muy importante;Muy importante;Muy importante;Importante;Importante;Muy importante;Muy importante;Importante;Sí;Concientización en los colegios de mi ciudad en los ultimnos grados de bachillerato y acciones de limpieza en las playas locales. Igual que una galería de imágenes de basura sacadas del fondo marino para concientizar.;Muchas gracias por su trabajo!
Femenino;Colombia;;1981;vivo solo;0;Universitario;autónomo;Completamente;Completamente;Completamente;Completamente;Al comenzar el curso.;Si;100;Participado en todas las tareas de aprendizaje de la ORIENTACIÓN LIDERAZGO y ORIENTACIÓN EXPERTO, he navegado,  descargado los materiales y enviado las tareas finales;;De acuerdo;Muy importante;Muy importante;Muy importante;Importante;Muy importante;Muy importante;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Importante;Muy importante;Muy importante;Importante;Importante;Importante;Importancia moderada;Importancia moderada;Sí;Difusión de la información con grupos de interés en las ciudades donde vivo (con grupos de niños, jovenes y lideres sociales);Mi correo es social@grupoecologica.com o social.grupoecologica@gmail.com Gracias por el Curso, ojalá lo repitan para otras personas
Femenino;España;;1986;vivo solo;0;Universitario;desempleado y en búsqueda de empleo;6;Completamente;Completamente;6;Durante el curso;Si;350;Participado en todas las actividades de algunos módulos, he navegado y descargado los materiales;7;De acuerdo;Muy importante;Importante;Muy importante;Importante;Muy importante;Muy importante;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;Muy importante;Importante;Muy importante;Importancia moderada;Importancia moderada;Importante;Importancia moderada;Importancia moderada;No;Voluntariado y educación ambiental en el entorno local;
Masculino;Argentina;;1959;vivo en pareja;1;Universitario;asalariado;5;5;5;5;Al comenzar el curso.;Si;60;Participado en todas las tareas de aprendizaje de la ORIENTACIÓN LIDERAZGO y ORIENTACIÓN EXPERTO, he navegado,  descargado los materiales y enviado las tareas finales;;En desacuerdo;Importante;Importante;Importante;Importante;Importante;Importante;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Importante;Muy importante;Importante;Importante;Importante;Importante;Importante;Importante;Sí;PLAN DE CONSERVACION Y MEJORA DE LOS ESPACIOS LITORALES DE RELEVANCIA AMBIENTAL EN LAS ISLAS BLEARES;
Masculino;España;;1973;vivo solo;2;Universitario;asalariado;6;6;6;5;Durante el curso;No tuve suficiente tiempo;120;Participado en la mayoría de las actividades de algunos módulos, he navegado y descargado los materiales;4;Totalmente de acuerdo;Importante;Muy importante;Muy importante;Importancia moderada;Muy importante;Importante;Totalmente de acuerdo;Totalmente de acuerdo;Neutral;De acuerdo;Totalmente de acuerdo;Muy importante;Muy importante;Muy importante;Importante;Importante;Importante;Muy importante;Importancia moderada;No;YA COLABORABA CON DISTINTAS ACTUACIONES A NIVEL INDIVIDUAL;TUVE UN PROBLEMA CON EL ORDENADOR EN EL TEMA 1 QUE NO ME RECONOCÍA LA PLATAFORMA EL VISIONADO LOS VÍDEOS O COLGADAS LAS PRÁCTICAS ( QUE SÍ HABÍA ENTREGADO ) Y EN EL TEMA 4 TRAS HABER ENTREGADO LA PRÁCTICA FINAL SE ME ESTROPEÓ EL TECLADO Y SE ME PASÓ EL TIEMPO PARA EVALUAR A MIS COMPAÑEROS CON LO QUE EL CURSO ME CONSTA COMO NO HECHO. AÚN ASÍ Y ESTANDO INTERESADO EN LA TEMÁTICA HE SEGUIDO EL CURSO Y LOS FOROS Y RECOPILADO TODA LA INFORMACIÓN PARA EN UN FUTURO PODER APLICAR ESTAS MEDIDAS A NIVEL DE MI ADMINISTRACIÓN PÚBLICA. UN SALUDO
Masculino;Chile;;1962;vivo en pareja;1;Estudios superiores;autónomo;4;5;5;5;Durante el curso;No tuve suficiente tiempo;1;Navegado el portal;;Totalmente de acuerdo;Importante;Muy importante;Importante;Muy importante;Muy importante;Importante;De acuerdo;Neutral;Totalmente de acuerdo;De acuerdo;Totalmente de acuerdo;Importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Importancia moderada;Importancia moderada;No;Evaluacion de plasticos en la zona costera;Aunque no dispuse de tiempo para realzar de buena forma el curso, la temática y pertinencia de los contenidos son de alta importancia
Masculino;Colombia;;1963;vivo solo;1;Universitario;asalariado;6;Completamente;Completamente;6;Durante el curso;No tuve suficiente tiempo;1,5;Navegado y descargado los materiales educativos;;De acuerdo;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Neutral;De acuerdo;De acuerdo;De acuerdo;De acuerdo;Importante;Importante;Importante;Importancia moderada;Importante;Importancia moderada;De poca importancia;Importante;Sí;No he vuelto a adquirir bolsas plásticas. ;"Les ofrezco excusas, por no haber terminado el curso. Pensé que lo lograría, ""pero el bocado que me metí a la boca, fue mas grande y por eso me atoró"". Deseo en el futuro volver a iniciar para terminar. Hay algo que me parece importante que ustedes sepan: la plataforma para navegar, no es muy amigable, porque lleva a la confusión. Eso desanima y quita tiempo. No obstante, mis infinitas gracias por enseñarme a aprender. "
Femenino;Ecuador;;1985;vivo en pareja;0;Master;autónomo;2;3;3;6;Antes de comenzar el curso;Si;5;Participado en algunas actividades de algunos módulos de aprendizaje, he navegado y descargado los materiales;2;Totalmente de acuerdo;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;De acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;De acuerdo;De acuerdo;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Importante;Importante;No;Continuar con educación ambiental en niños y adolescentes especialmente y fomentar la cultura del ahorro de recursos, reciclaje y técnicas de reutilización de desechos comunes.;Felicitaciones por la iniciativa.
Masculino;Otro;Brasil;1963;vivo en pareja;0;Doctorado;estudiante;5;6;6;6;Durante el curso;No tuve suficiente tiempo;30;Participado en todas las tareas de aprendizaje de la ORIENTACIÓN LIDERAZGO y ORIENTACIÓN EXPERTO, he navegado y descargado los materiales;;Totalmente de acuerdo;Muy importante;Importante;Importante;Importante;Muy importante;Muy importante;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;Muy importante;Muy importante;Importante;Importancia moderada;Importante;Importancia moderada;Importante;De poca importancia;Sí;Divulgación de textos obtenidos en el curso;las tareas en grupo son importantes, pero podrían dar la opción de elegir otro tema que no se enumeran.
Femenino;México;;1970;vivo en pareja;0;Estudios medios;autónomo;Completamente;Completamente;Completamente;Completamente;Durante el curso;No tuve suficiente tiempo;10;Participado en todas las tareas de aprendizaje de la ORIENTACIÓN LIDERAZGO y ORIENTACIÓN EXPERTO, he navegado,  descargado los materiales y enviado las tareas finales;;Totalmente de acuerdo;Muy importante;Importante;Importante;Importante;Muy importante;Importante;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Importante;Importante;Sí;Realizo evento de limpieza de playas cada año, doy platicas de sensibilización, hago campañas de promoción. ;Muchas gracias por este curso, por la oportunidad, ha sido muy valioso y me he cambiado el como yo veía el problema de la basura, gracias a todos los profesores, ha sido una gran experiencia
Femenino;Colombia;;1992;vivo solo;0;Universitario;estudiante;2;5;Completamente;Completamente;Antes de comenzar el curso;No tuve suficiente tiempo;2;Participado en la mayoría de las actividades de algunos módulos, he navegado y descargado los materiales;2;De acuerdo;Sin importancia;Sin importancia;Sin importancia;Sin importancia;Sin importancia;Sin importancia;De acuerdo;De acuerdo;De acuerdo;De acuerdo;Totalmente de acuerdo;De poca importancia;De poca importancia;De poca importancia;De poca importancia;De poca importancia;De poca importancia;De poca importancia;De poca importancia;No;Quiero desarrollar una investigaciòn para tratar aguas contaminadas.;Quiero agradecer a ustedes la creaciòn de estos espacios, lastimosamente no lo pude completar. me gustaria en otra oportunidad hacerlo.
Femenino;México;;1989;vivo con mis padres;0;Master;asalariado;6;Completamente;6;6;Al comenzar el curso.;No tuve suficiente tiempo;40;Participado en todas las tareas de aprendizaje de la ORIENTACIÓN LIDERAZGO y ORIENTACIÓN EXPERTO, he navegado,  descargado los materiales y enviado las tareas finales;;De acuerdo;Muy importante;Importante;Importante;Importante;Muy importante;Muy importante;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Importante;Importante;Sí;Tratar de concientizar a la gente a mi alrededor acerca de la basura y el reciclaje de esta;
Masculino;Venezuela;;1969;vivo en pareja;3;Universitario;autónomo;5;5;5;5;Al comenzar el curso.;No tuve suficiente tiempo;1;Participado en algunas actividades de algunos módulos de aprendizaje, he navegado y descargado los materiales;4;Totalmente de acuerdo;Muy importante;Importante;Importante;Importante;Muy importante;Importante;De acuerdo;Neutral;De acuerdo;De acuerdo;Totalmente de acuerdo;Importancia moderada;Muy importante;Muy importante;Muy importante;Importante;Importancia moderada;Importante;Importante;Sí;Jornadas y talleres mantengamos limpias nuestras playas y rios;
Masculino;Panamá;;1986;vivo en pareja;0;Universitario;asalariado;2;2;2;2;Nunca;No tuve suficiente tiempo;0;Navegado el portal;;De acuerdo;Importante;Importante;Importante;Importante;Importante;Importante;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Importancia moderada;Importancia moderada;Importancia moderada;Importancia moderada;Importancia moderada;Importancia moderada;Importancia moderada;Importancia moderada;No;no he realizado aun ;me gustaría que me explicara en un correo por separado , los detalle del curso 
Femenino;México;;1967;Otro;0;Diplomado;asalariado;5;Completamente;Completamente;Completamente;Durante el curso;No tuve suficiente tiempo;20;Participado en algunas actividades de algunos módulos de aprendizaje, he navegado y descargado los materiales;7;De acuerdo;Muy importante;Importante;Importancia moderada;Importante;Importancia moderada;Importante;Totalmente de acuerdo;Totalmente de acuerdo;De acuerdo;De acuerdo;Totalmente de acuerdo;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Importante;Importante;Sí;limpieza de playas en conjunto con diez países.;
Masculino;España;;1969;vivo en pareja;0;Master;asalariado;5;5;5;5;Al comenzar el curso.;No tuve suficiente tiempo;15;Participado en algunas actividades de algunos módulos de aprendizaje, he navegado y descargado los materiales;7;Totalmente de acuerdo;De poca importancia;De poca importancia;Muy importante;Muy importante;Muy importante;Muy importante;De acuerdo;De acuerdo;De acuerdo;De acuerdo;Totalmente de acuerdo;Importante;Importante;De poca importancia;De poca importancia;Importante;Importante;Importante;Importante;No;limpieza fondos marinos buceando;
